Date;SB;Attendance;Winner;QB  Winner;Coach Winner;Winning Pts;Loser;QB Loser;Coach Loser;Losing Pts;MVP;Stadium;City;State;Point Difference;Referee;Umpire;Head Linesman;Line Judge;Field Judge;Back Judge;Side Judge;Geo Shape;Geo Point 2D
1971-01-17;V;79204;Baltimore Colts;Earl Morrall , Johnny Unitas;Don McCafferty;16;Dallas Cowboys;Craig Morton;Tom Landry;13;Chuck Howley;Orange Bowl;Miami;Florida;3;Norm Schachter;Paul Trepinski;Ed Marion;Jack Fette;Fritz Graf;Hugh Gamber;;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1979-01-21;XIII;79484;Pittsburgh Steelers;Terry Bradshaw;Chuck Noll;35;Dallas Cowboys;Roger Staubach;Tom Landry;31;Terry Bradshaw;Orange Bowl;Miami;Florida;4;Pat Haggerty;Art Demmas;Jerry Bergman;Jack Fette;Fred Swearingen;Pat Knight;Dean Look;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1985-01-20;XIX;84059;San Francisco 49ers;Joe Montano;Bill Walsh;38;Miami Dolphins;Dan Marino;Don Shula;16;Joe Montana;Stanford Stadium;Palo Alto;California;22;Pat Haggerty;Tom Hensley;Leo Miles;Ray Dodez;Bob Lewis;Tom Kelleher;Bill Quinby;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
1989-01-22;XXIII;75129;San Francisco 49ers;Joe Montana;Bill Walsh;20;Cincinnati Bengals;Boomer Esiason;Sam Wyche;16;Jerry Rice;Joe Robbie Stadium;Miami Gardens;Florida;4;Jerry Seeman;Gordon Wells;Jerry Bergman;Bob Beeks;Bobby Skelton;Paul Baetz;Gary Lane;"{""coordinates"": [[[-80.056539285, 26.88], [-80.088015, 26.205765], [-80.13156, 25.816775], [-80.38103, 25.20616], [-80.6797985501, 25.0799164902], [-81.1719132148, 25.2010977239], [-81.3301206123, 25.6397531194], [-81.7100715807, 25.869945787], [-82.2397808499, 26.7298416204], [-82.70515, 27.49504], [-82.85526, 27.88624], [-82.6498850166, 28.5501697861], [-82.93, 29.1], [-83.70959, 29.93656], [-84.0997965156, 30.0900499537], [-85.10882, 29.63615], [-85.28784, 29.68612], [-85.7731, 30.15261], [-86.4000695462, 30.4001602239], [-87.5303881498, 30.2741989202], [-87.4578861152, 30.4112706569], [-87.4049694486, 30.60864879], [-87.6330433825, 30.8515280218], [-87.6171528796, 30.9277249212], [-87.0456632149, 30.9848790553], [-85.0051934476, 30.9906926539], [-84.8533164131, 30.7213550888], [-83.8478997464, 30.6753113877], [-82.2260090807, 30.5255530869], [-82.151930915, 30.3509384222], [-82.022817349, 30.4403644882], [-82.0201560127, 30.7880176865], [-81.8995173815, 30.8218915878], [-81.7015966458, 30.7483301865], [-81.4904725817, 30.7298300237], [-81.31371, 30.03552], [-80.979831916, 29.17989879], [-80.535585, 28.47213], [-80.5300402493, 28.0400717229], [-80.056539285, 26.88]]], ""type"": ""Polygon""}";28.6169283051,-82.5025741003
1998-01-25;XXXII;68912;Denver Broncos;John Elway;Mike Shanahan;31;Green Bay Packers;Brett Favre;Mike Holmgren;24;Terrell Davis;Qualcomm Stadium;San Diego;California;7;Ed Hochuli;Jim Quirk;John Schleyer;Ben Montgomery;Don Dorkowski;Paul Baetz;Doug Toole;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
1978-01-15;XII;76400;Dallas Cowboys;Roger Staubach;Tom Landry;27;Denver Broncos;Craig Morton;Red Miller;10;Harvey Martin, Randy White;Superdome;New Orleans;Louisiana;17;Jim Tunney;Joe Connell;Tony Veteri;Art Holst;Bob Wortman;Ray Douglas;;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
1987-01-25;XXI;101063;New York Giants;Phil Simms;Bill Parcells;39;Denver Broncos;John Elway;Dan Reeves;20;Phil Simms;Rose Bowl;Pasadena;California;19;Jerry Markbreit;Bob Boylston;Terry Gierke;Bob Beeks;Pat Mallette;Jim Poole;Gil Mace;"{""coordinates"": [[[-114.3549006824, 34.464666653], [-114.165971646, 34.2725853541], [-114.4691831124, 34.0672748886], [-114.5485581124, 33.6095250514], [-114.7433007475, 33.3798749863], [-114.6914434477, 33.2036841904], [-114.6559934152, 33.0539000514], [-114.479776781, 32.9163373886], [-114.5898475818, 32.7162979192], [-114.72139, 32.72083], [-115.9910798816, 32.6125833196], [-117.1277288481, 32.5353270533], [-117.2959376913, 33.0462246152], [-117.944, 33.6212364312], [-118.4106022759, 33.7409092231], [-118.5198948228, 34.0277815776], [-119.081, 34.078], [-119.438840642, 34.3484771783], [-120.367816122, 34.4472258571], [-120.6228651536, 34.6086113551], [-120.7445889899, 35.1568207871], [-121.714555624, 36.1617206894], [-122.5474505215, 37.5518167181], [-122.5120004889, 37.7836113551], [-122.9533172207, 38.1137979193], [-123.7269650885, 38.9514728867], [-123.8650703538, 39.7669269883], [-124.3979577236, 40.3130176865], [-124.1788754889, 41.1422435573], [-124.2138087572, 41.9994780544], [-119.9989755866, 41.9926050889], [-120.0000349534, 38.9953978542], [-118.1146195138, 37.6444208847], [-116.3207496814, 36.3220468206], [-114.642221646, 35.0531061875], [-114.6221195138, 34.9636801214], [-114.5670841134, 34.8282103541], [-114.4845310128, 34.6530530869], [-114.3549006824, 34.464666653]]], ""type"": ""Polygon""}";37.2551445335,-119.640543961
1975-01-12;IX;80997;Pittsburgh Steelers;Terry Bradshaw;Chuck Noll;16;Minnesota Vikings;Fran Tarkenton;Bud Grant;6;Franco Harris;Tulane Stadium;New Orleans;Louisiana;10;Bernie Ulman;Al Conway;Ed Marion;Bruce Alford;Dick Dolack;Ray Douglas;;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
1994-01-30;XXVIII;72817;Dallas Cowboys;Troy Aikman;Jimmy Johnson;30;Buffalo Bills;Jim Kelly;Marv Levy;13;Emmitt Smith;Georgia Dome;Atlanta;Georgia;17;Bob McElwee;Art Demmas;Sid Semon;Tom Barnes;Don Orr;Al Jury;Nate Jones;"{""coordinates"": [[[-80.8650068835, 32.0331613226], [-81.33629, 31.44049], [-81.4904725817, 30.7298300237], [-81.7015966458, 30.7483301865], [-81.8995173815, 30.8218915878], [-82.0201560127, 30.7880176865], [-82.022817349, 30.4403644882], [-82.151930915, 30.3509384222], [-82.2260090807, 30.5255530869], [-83.8478997464, 30.6753113877], [-84.8533164131, 30.7213550888], [-85.0051934476, 30.9906926539], [-85.0544152494, 31.1086957871], [-85.1178997464, 31.236233222], [-85.0903820462, 31.4002800563], [-85.0655256823, 31.5770134547], [-85.1195017158, 31.7653998886], [-85.0639237129, 32.083416653], [-84.8988433499, 32.2591165227], [-84.9861506823, 32.4379686549], [-85.1295527819, 32.7507144231], [-85.3655590482, 33.7444780543], [-85.6253881497, 34.9859009873], [-84.85437578, 34.9769092881], [-84.3209716458, 34.9869603541], [-83.0763706123, 34.9790280218], [-83.1859246488, 34.8959581569], [-83.3462507799, 34.7065123561], [-83.0763706123, 34.5403467881], [-82.9028153144, 34.479497789], [-82.7165476143, 34.1630571559], [-82.5974851143, 33.9857811549], [-82.2492893135, 33.7487155218], [-82.1805079821, 33.6243561875], [-81.943442349, 33.46136872], [-81.827015347, 33.22324372], [-81.5073966133, 33.0216281194], [-81.4359539456, 32.7930374212], [-81.376706916, 32.6824498561], [-81.4110975817, 32.6088884547], [-81.2248298815, 32.4993602565], [-81.1264121162, 32.3120331894], [-81.1279882474, 32.1215280218], [-81.0364434476, 32.0844760198], [-80.8650068835, 32.0331613226]]], ""type"": ""Polygon""}";32.6524688988,-83.4510929921
2002-02-03;XXXVI;72922;New England Patriots;Tom Brady;Bill Belichick;20;St. Louis Rams;Kurt Warner;Mike Martz;17;Tom Brady;Louisiana Superdome;New Orleans;Louisiana;3;Bernie Kukar;Jeff Rice;Mark Hittner;Ron Phares;Pete Morelli;Scott Green;Laird Hayes;"{""coordinates"": [[[-89.21767, 29.29108], [-89.4083872139, 29.1597708196], [-89.77928, 29.30714], [-90.15463, 29.11743], [-90.880225, 29.148535], [-91.626785, 29.677], [-92.49906, 29.5523], [-93.22637, 29.78375], [-93.84842, 29.71363], [-93.9184736804, 29.8217717555], [-93.8168778145, 29.9683519557], [-93.6671195137, 30.1006436223], [-93.6644840157, 30.3001404892], [-93.7375028145, 30.3668030869], [-93.6501954821, 30.6054706894], [-93.5861683825, 30.7139395208], [-93.4898435127, 31.0796019557], [-93.5782360502, 31.2161310898], [-93.6941204496, 31.4436624212], [-93.7793090482, 31.67543122], [-93.8348612129, 31.8299437526], [-93.9989080472, 31.9426500514], [-94.0597570463, 33.0121196559], [-93.0940278796, 33.0105176865], [-92.0013038806, 33.0438748235], [-91.1562391833, 33.0100009222], [-91.0847965157, 32.9528467881], [-91.1757987129, 32.8083853216], [-91.0308204821, 32.6025322535], [-91.0720841133, 32.4787155218], [-90.9429705472, 32.3067363551], [-91.0816184151, 32.2045978867], [-91.1281788806, 32.0156946884], [-91.3213195463, 31.8595801865], [-91.4112882149, 31.6500322535], [-91.5022904121, 31.408729153], [-91.6245310127, 31.297082221], [-91.5837841459, 31.0473300237], [-90.7016674466, 31.0155748561], [-89.7592185127, 31.0134561224], [-89.7877955798, 30.8472905543], [-89.8539414131, 30.68324372], [-89.790456916, 30.5567914902], [-89.6586820137, 30.4408812526], [-89.6232319811, 30.2752582871], [-89.6047059802, 30.1762979192], [-89.413735, 29.89419], [-89.43, 29.48864], [-89.21767, 29.29108]]], ""type"": ""Polygon""}";31.0480777894,-91.9572061819
